from,to
HESW,VLXK
HESW,IN-0065
HESW,DBBC
HESW,HUKC
HESW,FJ-0004
HESW,NVVB
HESW,PT-0112
HESW,TD-0017
HESW,VI20
HESW,VGZR
HESW,YPXM
HESW,SS-0053
HESW,RU-2249
HESW,JP-1012
HESW,SS-0006
HESW,HSGF
HESW,VLHS
HESW,FDSM
HESW,FDBM
HESW,HRYO
HESW,KG-0043
HESW,AZ-0013
HESW,DNAK
HESW,HSSK
HESW,PL-0078
HESW,AGOB
HESW,TJ-UT46
HESW,SI-0013
HESW,HUEN
HESW,PL-0031
HESW,ELLX
HESW,SI-0014
HESW,TJ-0006
HESW,EPIW
HESW,EPGI
HESW,SS-0008
HESW,KE-6045
HESW,TL-0001
HESW,UB18
HESW,NVSL
VLXK,KG-0001
VLXK,HESW
VLXK,TZ-0084
VLXK,SPHO
VLXK,ELUS
VLXK,IN-0073
VLXK,HLLQ
VLXK,VGIS
VLXK,FTTI
VLXK,RU-0011
VLXK,VDRK
VLXK,WPAT
VLXK,BD-0003
VLXK,NFTF
VLXK,TD-0010
VLXK,ER-0003
VLXK,NFNR
VLXK,GLGE
VLXK,UT1C
VLXK,RU-2249
VLXK,Z19M
VLXK,SD-0001
VLXK,DRZR
VLXK,DRRN
VLXK,WAOM
VLXK,TZ-0034
VLXK,SS-0043
VLXK,GVMA
VLXK,JP-2079
VLXK,GVMT
VLXK,MR-0003
VLXK,FMZJ
VLXK,VDPP
VLXK,DRZL
BA-0006,HTMF
BA-0006,LSZN
BA-0006,HSSK
BA-0006,NFNR
BA-0006,IN-0054
BA-0006,VRMO
BA-0006,VISR
BA-0006,NVVI
BA-0006,ENTC
BA-0006,HKNI
BA-0006,HRYU
BA-0006,RU-2249
BA-0006,VTUL
BA-0006,ZZ-0002
BA-0006,JO-0006
BA-0006,LY-DNF
BA-0006,SG-0005
BA-0006,GMFO
BA-0006,TZ-0122
BA-0006,JP-2089
BA-0006,EPGI
BA-0006,ENBM
BA-0006,DNBB
BA-0006,NFTV
BA-0006,KE-LBK
BA-0006,OITL
BA-0006,FDBT
BA-0006,VGSG
BA-0006,ER-0002
BA-0006,GQNM
BA-0006,DBBR
BA-0006,ID-0144
BA-0006,PT-0070
BA-0006,WPOC
BA-0006,BA-0003
BA-0006,FSAL
OIFS,FSPL
OIFS,FTTI
OIFS,OMY
OIFS,OYMB
OIFS,NVSL
OIFS,LV-1288
OIFS,BD-0022
OIFS,ID-0246
OIFS,DNYO
OIFS,ENKJ
OIFS,VLOS
OIFS,AGGL
OIFS,VGTJ
OIFS,DNMA
OIFS,RW-0001
OIFS,RORY
OIFS,IR-0043
OIFS,LIAR
OIFS,HEBA
OIFS,HTMF
OIFS,VRAH
OIFS,ZW-0054
OIFS,NG-0006
OIFS,LT-0012
OIFS,HHTS
OIFS,NVVB
OIFS,GMMD
OIFS,ER-0001
SPHO,VGIS
SPHO,WDA
SPHO,OMY
SPHO,HESC
SPHO,VLXK
SPHO,JP-2089
SPHO,NFTE
SPHO,FVKZ
SPHO,TD-0010
SPHO,IR-0038
SPHO,DBBC
SPHO,FMZJ
SPHO,OY75
SPHO,OKBK
SPHO,HUMW
SPHO,SS-0043
SPHO,PT-0100
SPHO,RW-0002
SPHO,SR-0002
SPHO,LSXV
SPHO,UB18
SPHO,SMVO
SPHO,HRYO
SPHO,OISJ
SPHO,ENHD
SPHO,IT-0531
SPHO,GW-0001
SPHO,IR-0043
SPHO,GGCF
SPHO,LQBK
SPHO,AXO
SPHO,SI-0019
SPHO,VISR
