from,to
FBSW,VGSY
FBSW,PT-0070
FBSW,FOOY
FBSW,TZ-0122
FBSW,GA-0001
FBSW,KG-0015
FBSW,FDNH
FBSW,EEAA
FBSW,LV-0054
FBSW,DTMB
FBSW,VRMD
FBSW,LPHR
FBSW,TW-0032
FBSW,CM-0004
FBSW,FXSM
FBSW,FI-0012
FBSW,RKST
FBSW,LSGE
FBSW,HUKC
FBSW,FKAG
FBSW,DZ-0038
FBSW,BD-0024
FBSW,NC-0005
FBSW,OADZ
FBSW,FDSM
FBSW,LOWS
HESW,MV-0002
HESW,BY-0040
HESW,NWWW
HESW,EFKK
HESW,RP14
HESW,SCAQ
HESW,TZ-0054
HESW,WPMN
HESW,HE11
HESW,BR-0131
HESW,RKST
HESW,HEAZ
HESW,LDZS
HESW,BW-0015
HESW,YPXM
HESW,FBGD
HESW,FBKK
HESW,KP-0030
HESW,KP-0023
HESW,NGFU
HESW,TZ-0034
HESW,WPDB
HESW,FMCN
HESW,VYPU
HESW,SCON
HESW,SCST
HESW,FXPG
HESW,FXML
HESW,MY-SPT
HESW,GF-0009
HESW,LV-0040
HESW,FKKO
HESW,NFTE
HESW,SY-0017
SCON,SNFL
SCON,FBSN
SCON,FXMM
SCON,TM-0001
SCON,EE-0010
SCON,WPFL
SCON,FOGM
SCON,VE-0075
SCON,LSGE
SCON,FOGQ
SCON,HEOC
SCON,LV-0013
SCON,KG-0043
SCON,CZ-0197
SCON,TJ-0001
SCON,HESW
SCON,HR-0001
SCON,ID-KCI
SCON,FSAL
SCON,FXQN
SCON,WIMG
SCON,DTTX
SCON,PH-0355
SCON,FSSC
SCON,DZ-0020
SCON,BR-1478
SCON,PGUM
SCON,PH-0156
SCON,LSTA
SCON,NG-0007
SCON,LOKW
MY-0016,FSDA
MY-0016,SCSK
MY-0016,FSFA
MY-0016,YPXM
MY-0016,RS-0006
MY-0016,LDPN
MY-0016,EH-0011
MY-0016,LOIJ
MY-0016,OADZ
MY-0016,TV-0002
MY-0016,EE-0004
MY-0016,MZ-0059
MY-0016,GA-0001
MY-0016,GU-0001
MY-0016,UTAV
MY-0016,CM-0004
MY-0016,AT-0024
MY-0016,LJPZ
MY-0016,CM-0013
MY-0016,DNMM
MY-0016,WBKO
MY-0016,HR-0020
MY-0016,SCTO
MY-0016,OM-0013
MY-0016,UMLI
MY-0016,FXLK
MY-0016,RS-0033
MY-0016,UT1J
MY-0016,HEAZ
MY-0016,DNAK
MY-0016,EFEU
MY-0016,KG-0001
MY-0016,GF-0009
MY-0016,VYTN
MY-0016,HEOC
MY-0016,KP-0046
MY-0016,LOWL
CZ-0197,LOKW
CZ-0197,VGSG
CZ-0197,LDZS
CZ-0197,WBGJ
CZ-0197,GMML
CZ-0197,OAQM
CZ-0197,HR-0018
CZ-0197,KP-0043
