from,to
SK-0073,LV-0050
SK-0073,RO-0012
SK-0073,EVLA
SK-0073,GB-0596
SK-0073,LAKU
SK-0073,LRBS
SK-0073,BE-0007
SK-0073,GB-0143
SK-0073,LATI
SK-0073,LUCL
SK-0073,RO-0003
SK-0073,UGMS
SK-0073,EBGB
SK-0073,LUTR
SK-0073,GB-0102
SK-0073,LAVL
SK-0073,EVTA
SK-0073,HR-0015
SK-0073,LOLW
SK-0073,LZNI
SK-0073,MD-0005
SK-0073,LDRI
SK-0073,HR-0016
SK-0073,HR-0018
SK-0073,BIRG
SK-0075,GB-0143
SK-0075,EBTR
SK-0075,SK-0046
SK-0075,EHGG
SK-0075,GB-0639
SK-0075,LDPN
SK-0075,RO-0065
SK-0075,EBBE
SK-0075,BIRG
SK-0075,BIVI
SK-0075,DE-0354
SK-0075,LOIA
SK-0075,LDRG
SK-0075,LBWB
SK-0075,HR-0010
SK-0075,HR-0020
SK-0075,LRBS
SK-0075,SK-0013
SK-0075,LBBG
SK-0075,LV-0017
LOKM,LV-0051
LOKM,LOAV
LOKM,LV-0054
LOKM,BG-0119
LOKM,BE-0007
LOKM,LOWZ
LOKM,EGCE
LOKM,EBZR
LOKM,LRCV
LOKM,EVLA
LOKM,NL-0071
LOKM,LV-0010
LOKM,BIKF
LOKM,EBMA
LOKM,NL-0045
LOKM,EBUL
LOKM,LDZK
LOKM,MD-0003
LDVC,BIFF
LDVC,GB-0164
LDVC,LDPL
LDVC,BG-0080
LDVC,LUKK
LDVC,GB-0102
LDVC,HR-0015
LDVC,AL-0003
LDVC,EVEA
LDVC,BIHS
LDVC,RO-0047
LDVC,BIGH
LDVC,IS-0003
LDVC,LV-0054
LDVC,GB-0826
LDVC,LOWZ
LDVC,HR-0018
LDVC,HR-0016
LDVC,RO-0011
LDVC,GB-1021
LDVC,LV-0013
LDVC,LAKV
EBFS,LOIA
EBFS,LDPN
EBFS,BIFF
EBFS,LV-0032
EBFS,BE-0029
EBFS,LBKJ
EBFS,BIHU
EBFS,LV-0013
EBFS,SK-0018
EBFS,SK-0064
EBFS,LRTM
EBFS,EBLZ
EBFS,GB-0639
EBFS,LASR
EBFS,RO-0001
EBFS,LOIJ
EBFS,AL-0010
EBFS,MD-0007
EBFS,LZDV
EBFS,SK-0085
LOKW,BIBA
LOKW,LV-0015
LOKW,LV-0052
LOKW,SK-0007
LOKW,LZKC
LOKW,LV-0010
LOKW,NL-0070
LOKW,SK-0064
LOKW,BE-0029
LOKW,LDZK
LOKW,LBWB
LOKW,RO-0044
LOKW,LUCH
LOKW,EBZW
LOKW,HR-0015
LOKW,LV-0051
LOKW,BG-0103
LOKW,EHEH
X-VIE,NL-0008
X-VIE,LBBZ
X-VIE,LDPL
X-VIE,BIRG
X-VIE,RO-0041
X-VIE,SK-0013
X-VIE,NL-0045
X-VIE,BIGH
X-VIE,EGCE
X-VIE,LOWS
X-VIE,LUTR
X-VIE,GB-0826
X-VIE,EBOT
X-VIE,MD-0006
X-VIE,EBLE
X-VIE,EHMZ
X-VIE,EBAV
X-VIE,GB-0102
X-VIE,BIKE
X-VIE,MD-0004
BG-0042,RO-0014
BG-0042,DE-0354
BG-0042,LOAN
BG-0042,EBTR
BG-0042,NL-0045
BG-0042,BIBA
BG-0042,SK-0064
BG-0042,LT-0012
BG-0042,BG-0021
BG-0042,NL-0072
BG-0042,LRPH
BG-0042,HR-0020
BG-0042,RO-0044
BG-0042,SK-0048
BG-0042,EHNP
BG-0042,SK-0009
EBGB,RO-0044
EBGB,LDRO
EBGB,SK-0065
EBGB,LOWI
EBGB,KZ-0062
EBGB,BIKF
EBGB,LBSD
EBGB,SK-0073
EBGB,SK-0018
